School ID,State,Geographic School District,Children 5-17 (SAIPE Estimate),% Poverty (SAIPE Estimate),% Single Parent Estimate,Single Parent Margin of Error,% HHs With Vulnerable Job Estimate,Vulnerable Job Margin of Error,% Crowded Conditions Estimate,HH With Crowded Conditions Margin of Error,% No Computer or Internet Estimate,No Computer or Internet Margin of Error,% Children with Disability,Children with Disability Margin of Error,% Linguistically Isolated Children,Linguistically Isolated Children Margin of Error
00700,Alaska,Southeast Island School District,242,11%,19%,11%-27%,20%,14%-26%,4%,2%-7%,18%,6%-30%,0%,0%-4%,0%,0%-7%
00710,Alaska,Southwest Region School District,619,34%,35%,28%-41%,17%,9%-26%,34%,30%-38%,19%,16%-23%,3%,2%-4%,1%,0%-3%
00715,Alaska,Tanana City School District,39,17%,48%,28%-68%,11%,0%-30%,11%,0%-26%,36%,11%-62%,13%,2%-23%,0%,0%-46%
00720,Alaska,Unalaska City School District,594,6%,24%,20%-28%,20%,18%-22%,12%,9%-14%,11%,8%-15%,4%,2%-6%,3%,1%-6%
00730,Alaska,Chatham School District,128,22%,48%,26%-69%,23%,15%-31%,3%,0%-7%,17%,8%-27%,6%,0%-18%,0%,0%-14%
00760,Alaska,Kuspuk School District,332,37%,47%,39%-54%,10%,6%-14%,30%,27%-34%,22%,17%-27%,1%,0%-2%,0%,0%-5%
00770,Alaska,Denali Borough School District,191,7%,18%,7%-30%,44%,22%-65%,2%,0%-5%,0%,0%-6%,7%,0%-16%,0%,0%-9%
00775,Alaska,Yukon Flats School District,245,31%,59%,49%-70%,13%,9%-18%,19%,14%-24%,69%,59%-79%,4%,1%-6%,1%,0%-7%
00780,Alaska,Valdez City School District,634,15%,21%,0%-44%,14%,8%-21%,0%,0%-2%,10%,0%-25%,10%,0%-21%,0%,0%-3%
00800,Alaska,Chugach School District,81,5%,38%,19%-57%,22%,9%-34%,6%,0%-17%,8%,0%-26%,5%,0%-20%,0%,0%-22%
00810,Alaska,Wrangell School District,377,13%,30%,22%-39%,26%,21%-30%,2%,1%-3%,9%,4%-13%,1%,0%-4%,0%,0%-5%
00840,Alaska,Yakutat School District,125,15%,35%,25%-46%,22%,16%-27%,7%,0%-15%,12%,3%-21%,2%,0%-9%,3%,0%-17%
00862,Alaska,Yukon-Koyukuk School District,427,31%,44%,36%-52%,20%,11%-28%,19%,16%-23%,47%,40%-53%,8%,5%-11%,0%,0%-4%
00001,Arizona,Cave Creek Unified District,7522,7%,12%,9%-15%,26%,24%-28%,0%,0%-1%,2%,1%-3%,4%,3%-6%,2%,0%-3%
00003,Arizona,Chino Valley Unified District,2994,13%,29%,15%-42%,31%,25%-36%,2%,1%-3%,10%,3%-18%,4%,0%-7%,1%,0%-2%
00004,Arizona,Clarkdale-Jerome Elementary District,272,11%,8%,7%-8%,24%,15%-32%,0%,0%-2%,8%,3%-13%,0%,0%-5%,0%,0%-9%
00005,Arizona,Salome Consolidated Elementary District,158,51%,83%,36%-100%,39%,17%-61%,1%,0%-4%,72%,16%-100%,0%,0%-11%,30%,8%-52%
00021,Arizona,Colorado City Unified District,2878,32%,34%,22%-46%,29%,21%-36%,50%,41%-59%,49%,36%-62%,3%,0%-5%,0%,0%-1%
00022,Arizona,Vernon Elementary District,139,26%,0%,0%-10%,36%,27%-44%,3%,0%-9%,9%,0%-21%,8%,0%-23%,0%,0%-17%
00023,Arizona,Pinon Unified District,1421,47%,53%,46%-60%,16%,12%-20%,16%,14%-19%,59%,53%-66%,6%,4%-7%,4%,2%-7%
00026,Arizona,Heber-Overgaard Unified District,614,31%,21%,6%-36%,43%,35%-50%,3%,0%-6%,2%,0%-6%,2%,0%-5%,0%,0%-4%
00082,Arizona,Colorado River Union High School District,7796,23%,56%,50%-61%,49%,46%-52%,3%,2%-4%,11%,7%-14%,5%,3%-6%,4%,0%-8%
00212,Arizona,Benson Unified School District,1179,27%,59%,44%-75%,30%,23%-36%,0%,0%-1%,0%,0%-2%,4%,1%-7%,9%,0%-21%
00295,Arizona,Kingman Unified School District,8988,25%,44%,37%-52%,34%,31%-36%,4%,3%-5%,11%,7%-15%,8%,5%-12%,0%,0%-1%
00450,Arizona,Agua Fria Union High School District,"29,203",10%,29%,26%-32%,29%,27%-30%,4%,3%-5%,11%,9%-13%,3%,3%-4%,3%,2%-5%
00480,Arizona,Aguila Elementary District,288,30%,39%,18%-61%,17%,13%-21%,13%,3%-24%,50%,25%-75%,0%,0%-6%,16%,0%-32%
00520,Arizona,Ajo Unified District,561,28%,72%,55%-89%,43%,27%-60%,6%,1%-11%,8%,0%-22%,0%,0%-3%,0%,0%-4%
00600,Arizona,Alhambra Elementary District,"20,530",34%,51%,47%-55%,33%,32%-35%,15%,13%-17%,34%,30%-38%,5%,3%-6%,16%,12%-20%
00630,Arizona,Alpine Elementary District,26,38%,0%,0%-75%,43%,21%-65%,0%,0%-13%,0%,0%-48%,12%,0%-61%,0%,0%-92%
00680,Arizona,Amphitheater Unified District,"17,821",18%,35%,30%-39%,33%,31%-35%,3%,3%-4%,14%,11%-16%,5%,4%-6%,3%,2%-4%
00720,Arizona,Antelope Union High School District,894,18%,15%,6%-25%,28%,23%-33%,7%,3%-10%,9%,2%-15%,0%,0%-3%,4%,0%-10%
00750,Arizona,Apache Elementary District,20,41%,78%,32%-100%,32%,0%-76%,2%,0%-36%,75%,2%-100%,0%,0%-85%,0%,0%-100%
00790,Arizona,Apache Junction Unified District,6407,18%,39%,29%-48%,31%,28%-33%,3%,2%-4%,15%,9%-21%,9%,6%-13%,4%,0%-7%
00840,Arizona,Arlington Elementary District,183,25%,22%,0%-52%,23%,13%-32%,0%,0%-6%,23%,0%-48%,4%,0%-13%,14%,0%-39%
00870,Arizona,Ash Creek Elementary District,68,15%,13%,4%-22%,19%,8%-31%,0%,0%-8%,45%,3%-87%,6%,0%-11%,0%,0%-35%
00910,Arizona,Ash Fork Joint Unified District,415,21%,44%,15%-73%,38%,26%-51%,10%,3%-17%,23%,7%-40%,3%,0%-8%,7%,0%-19%
00960,Arizona,Avondale Elementary District,"10,394",20%,38%,32%-45%,32%,29%-35%,7%,5%-9%,19%,14%-24%,2%,1%-4%,5%,2%-8%
01000,Arizona,Bagdad Unified School District,637,10%,33%,27%-39%,12%,4%-19%,8%,1%-14%,0%,0%-3%,3%,0%-8%,0%,0%-4%
01050,Arizona,Balsz Elementary District,5050,31%,46%,39%-54%,36%,33%-40%,8%,6%-10%,27%,19%-35%,4%,2%-6%,10%,4%-15%
01080,Arizona,Beaver Creek Elementary District,366,13%,35%,17%-53%,57%,48%-67%,0%,0%-2%,7%,0%-16%,0%,0%-7%,0%,0%-9%
01160,Arizona,Bicentennial Union High School District,640,10%,57%,30%-85%,43%,30%-55%,3%,0%-6%,32%,15%-50%,0%,0%-4%,7%,0%-15%
01180,Arizona,Bisbee Unified District,962,24%,64%,51%-76%,32%,25%-38%,3%,1%-6%,28%,16%-40%,3%,0%-7%,3%,0%-8%
01230,Arizona,Blue Elementary District,0,0%,0%,0%-100%,0%,0%-100%,0%,0%-100%,0%,0%-100%,0%,0%-100%,0%,0%-100%
01260,Arizona,Bonita Elementary District,34,13%,0%,0%-52%,8%,0%-37%,0%,0%-27%,0%,0%-59%,6%,0%-43%,0%,0%-71%
01290,Arizona,Bouse Elementary District,86,20%,33%,0%-72%,64%,36%-92%,2%,0%-7%,22%,0%-53%,0%,0%-20%,0%,0%-28%
01330,Arizona,Bowie Unified District,61,24%,63%,18%-100%,34%,16%-52%,3%,0%-15%,13%,0%-37%,3%,0%-23%,0%,0%-39%
01380,Arizona,Buckeye Elementary District,8639,16%,29%,23%-34%,33%,30%-36%,4%,3%-5%,9%,5%-14%,10%,7%-13%,2%,1%-3%
01410,Arizona,Buckeye Union High School District,"16,517",12%,25%,21%-29%,30%,28%-32%,5%,4%-6%,9%,6%-12%,6%,5%-8%,3%,2%-5%
01460,Arizona,Sierra Vista Unified District,8307,19%,33%,27%-40%,27%,24%-30%,1%,0%-2%,11%,7%-15%,11%,8%-14%,1%,0%-2%
01500,Arizona,Bullhead City School District,4892,33%,59%,52%-66%,53%,49%-57%,4%,3%-5%,11%,7%-15%,3%,2%-5%,6%,0%-13%
01600,Arizona,Camp Verde Unified District,2246,20%,22%,15%-30%,36%,30%-42%,4%,1%-7%,7%,3%-10%,10%,6%-13%,1%,0%-4%
01650,Arizona,Canon Elementary District,234,38%,87%,60%-100%,48%,39%-58%,2%,0%-6%,4%,0%-12%,15%,0%-31%,0%,0%-10%
01680,Arizona,Cartwright Elementary District,"33,532",32%,47%,44%-50%,32%,31%-34%,16%,15%-18%,26%,23%-29%,5%,4%-6%,13%,11%-15%
01710,Arizona,Casa Grande Elementary District,"13,555",22%,45%,39%-52%,32%,30%-35%,5%,4%-7%,16%,12%-19%,6%,4%-8%,3%,1%-5%
01740,Arizona,Casa Grande Union High School District,"18,259",19%,45%,40%-50%,33%,31%-35%,6%,5%-7%,19%,16%-23%,7%,5%-8%,3%,1%-5%
01760,Arizona,Catalina Foothills Unified District,4407,6%,23%,15%-30%,23%,21%-26%,1%,0%-1%,3%,1%-5%,5%,3%-7%,1%,0%-3%
01810,Arizona,Cedar Unified District,1733,50%,80%,73%-86%,22%,18%-26%,21%,17%-25%,75%,68%-82%,2%,0%-3%,1%,0%-3%
01870,Arizona,Chandler Unified District,"47,397",8%,23%,21%-25%,27%,26%-28%,3%,2%-3%,6%,5%-7%,3%,3%-4%,3%,2%-5%
01920,Arizona,Chevelon Butte School District,29,7%,0%,0%-60%,11%,0%-30%,1%,0%-8%,0%,0%-49%,10%,0%-55%,0%,0%-83%
01940,Arizona,Chinle Unified District,4782,51%,57%,51%-64%,17%,14%-20%,17%,15%-19%,70%,64%-76%,2%,1%-3%,1%,0%-3%
02130,Arizona,Cochise Elementary District,59,19%,29%,0%-79%,12%,0%-49%,2%,0%-23%,6%,0%-34%,14%,0%-42%,0%,0%-41%
02190,Arizona,Concho Elementary District,133,28%,33%,10%-56%,43%,28%-57%,3%,0%-7%,32%,4%-61%,5%,0%-16%,0%,0%-18%
02220,Arizona,Congress Elementary District,224,13%,0%,0%-6%,30%,19%-42%,4%,0%-9%,30%,3%-57%,0%,0%-8%,0%,0%-11%
02250,Arizona,Continental Elementary District,979,11%,29%,13%-45%,24%,21%-27%,0%,0%-0%,5%,0%-11%,2%,0%-5%,0%,0%-5%
02320,Arizona,Coolidge Unified District,8554,23%,34%,28%-40%,28%,25%-31%,4%,3%-5%,16%,11%-20%,5%,3%-7%,3%,0%-5%
02370,Arizona,Cottonwood-Oak Creek Elementary District,4155,21%,41%,30%-53%,41%,37%-45%,3%,2%-4%,13%,8%-19%,5%,2%-8%,3%,0%-6%
02400,Arizona,Crane Elementary District,8939,23%,32%,26%-39%,29%,26%-31%,6%,5%-8%,11%,7%-15%,5%,3%-6%,6%,4%-8%
02430,Arizona,Creighton Elementary District,"13,355",32%,49%,43%-54%,35%,33%-37%,12%,10%-13%,31%,26%-35%,5%,4%-6%,12%,9%-15%
02460,Arizona,Crown King Elementary District,0,14%,0%,0%-100%,21%,0%-100%,0%,0%-64%,0%,0%-100%,0%,0%-100%,0%,0%-100%
02490,Arizona,Double Adobe Elementary District,102,30%,52%,20%-85%,13%,0%-33%,2%,0%-16%,47%,16%-79%,5%,0%-9%,0%,0%-24%
02530,Arizona,Douglas Unified District,3366,34%,47%,39%-55%,25%,22%-28%,8%,5%-10%,13%,8%-18%,6%,4%-9%,8%,4%-12%
02600,Arizona,Duncan Unified District,557,16%,23%,6%-40%,27%,17%-36%,2%,0%-5%,14%,4%-24%,10%,3%-18%,0%,0%-4%
02690,Arizona,Dysart Unified District,"35,044",13%,30%,27%-33%,32%,30%-33%,2%,2%-2%,7%,5%-8%,5%,4%-6%,2%,1%-3%
02710,Arizona,Eagle Elementary District,0,0%,0%,0%-100%,56%,0%-100%,0%,0%-100%,0%,0%-100%,0%,0%-100%,0%,0%-100%
02760,Arizona,Elfrida Elementary District,109,12%,4%,0%-9%,20%,8%-32%,4%,0%-13%,6%,0%-15%,13%,0%-26%,0%,0%-22%
02790,Arizona,Eloy Elementary District,1259,30%,72%,62%-81%,32%,25%-40%,13%,7%-19%,28%,18%-38%,11%,4%-19%,3%,0%-8%
02820,Arizona,Empire Elementary District,63,25%,0%,0%-19%,18%,4%-31%,1%,0%-14%,0%,0%-27%,0%,0%-27%,0%,0%-38%
02860,Arizona,Flagstaff Unified District,"13,760",12%,37%,31%-42%,34%,32%-35%,4%,3%-4%,11%,9%-12%,6%,4%-7%,1%,0%-2%
02920,Arizona,Florence Unified School District,"13,463",13%,28%,22%-34%,29%,27%-32%,3%,2%-4%,4%,2%-6%,6%,4%-7%,0%,0%-0%
03010,Arizona,Flowing Wells Unified District,5241,30%,48%,40%-55%,36%,32%-39%,7%,5%-9%,11%,7%-15%,8%,6%-11%,11%,6%-16%
03040,Arizona,Fountain Hills Unified District,2519,6%,21%,14%-27%,31%,26%-35%,1%,0%-1%,4%,0%-8%,1%,0%-3%,0%,0%-2%
03060,Arizona,Fowler Elementary District,9745,30%,47%,40%-55%,32%,28%-35%,12%,9%-16%,27%,21%-32%,3%,1%-4%,7%,4%-11%
03080,Arizona,Fredonia-Moccasin Unified District,303,15%,40%,25%-54%,49%,35%-63%,5%,1%-10%,17%,4%-31%,3%,0%-9%,0%,0%-8%
03150,Arizona,Fort Huachuca Accommodation District,744,11%,3%,0%-8%,13%,7%-19%,1%,0%-5%,0%,0%-2%,1%,0%-4%,0%,0%-5%
03200,Arizona,Fort Thomas Unified District,1243,33%,62%,50%-74%,27%,21%-34%,19%,14%-24%,55%,42%-67%,4%,1%-7%,0%,0%-3%
03240,Arizona,Gadsden Elementary District,6856,31%,35%,29%-42%,20%,16%-23%,16%,12%-19%,19%,14%-25%,2%,1%-3%,25%,19%-32%
03290,Arizona,Ganado Unified District,1737,51%,61%,55%-66%,16%,13%-19%,19%,17%-22%,73%,69%-78%,2%,1%-3%,1%,0%-3%
03310,Arizona,Gila Bend Unified District,528,28%,35%,24%-46%,35%,28%-42%,17%,11%-23%,46%,31%-62%,6%,2%-11%,19%,4%-34%
03400,Arizona,Gilbert Unified District,"40,396",7%,24%,22%-26%,29%,27%-30%,2%,1%-2%,4%,3%-5%,5%,4%-6%,1%,1%-2%
03420,Arizona,Glendale Elementary District,"23,163",30%,50%,46%-54%,33%,31%-35%,10%,9%-11%,29%,26%-32%,5%,4%-6%,9%,7%-11%
03450,Arizona,Glendale Union High School District,"64,589",22%,47%,44%-49%,32%,31%-33%,7%,7%-8%,24%,23%-26%,6%,5%-6%,8%,6%-9%
03500,Arizona,Globe Unified District,1507,26%,40%,27%-53%,19%,15%-23%,3%,1%-5%,34%,22%-45%,12%,5%-18%,0%,0%-3%
03550,Arizona,Grand Canyon Unified District,115,12%,0%,0%-10%,66%,39%-92%,13%,0%-27%,0%,0%-5%,0%,0%-15%,0%,0%-21%
03660,Arizona,Hackberry School District,96,18%,7%,0%-17%,57%,47%-66%,2%,0%-7%,3%,0%-15%,3%,0%-16%,0%,0%-25%
03730,Arizona,Hayden-Winkelman Unified District,131,31%,39%,14%-63%,34%,24%-43%,3%,0%-10%,43%,21%-64%,7%,0%-20%,0%,0%-18%
03780,Arizona,Higley Unified District,"20,770",6%,19%,16%-22%,26%,25%-28%,2%,1%-3%,3%,2%-4%,4%,3%-6%,0%,0%-1%
03820,Arizona,Holbrook Unified District,2100,39%,55%,48%-62%,29%,24%-35%,9%,7%-11%,41%,34%-47%,7%,5%-10%,1%,0%-3%
03870,Arizona,Humboldt Unified District,8287,19%,29%,22%-36%,34%,30%-37%,3%,2%-4%,14%,10%-18%,6%,3%-8%,4%,2%-7%
03900,Arizona,Hyder Elementary District,124,22%,18%,1%-35%,26%,12%-39%,0%,0%-12%,8%,0%-22%,0%,0%-14%,0%,0%-19%
03950,Arizona,Indian Oasis-Baboquivari Unified District,1866,47%,83%,77%-89%,16%,12%-20%,19%,15%-23%,54%,44%-64%,2%,0%-3%,0%,0%-2%
03960,Arizona,Isaac Elementary District,"11,503",38%,47%,42%-52%,34%,31%-37%,17%,15%-20%,49%,43%-55%,3%,2%-5%,19%,15%-23%
03990,Arizona,J. O. Combs Unified School District,9593,9%,17%,12%-22%,27%,24%-30%,2%,1%-3%,5%,0%-11%,6%,3%-8%,0%,0%-1%
04010,Arizona,Joseph City Unified District,567,31%,49%,34%-64%,27%,21%-34%,10%,4%-16%,17%,6%-27%,15%,9%-22%,0%,0%-4%
04060,Arizona,Kayenta Unified District,2331,54%,65%,57%-73%,21%,16%-25%,15%,12%-17%,74%,67%-81%,2%,1%-2%,3%,0%-5%
04170,Arizona,Kirkland Elementary District,83,35%,42%,10%-75%,28%,17%-39%,2%,0%-7%,46%,0%-93%,19%,6%-33%,16%,0%-50%
04200,Arizona,Klondyke Elementary District,0,67%,0%,0%-100%,39%,0%-100%,0%,0%-100%,0%,0%-100%,0%,0%-100%,0%,0%-100%
04230,Arizona,Kyrene Elementary District,"27,960",8%,28%,25%-31%,24%,23%-25%,2%,1%-2%,5%,4%-7%,4%,3%-5%,2%,1%-3%
04280,Arizona,Lake Havasu Unified District,6785,19%,37%,29%-45%,37%,34%-40%,2%,1%-3%,8%,4%-13%,9%,6%-12%,3%,0%-5%
04290,Arizona,Laveen Elementary District,"12,490",19%,39%,34%-44%,24%,22%-26%,4%,3%-5%,11%,8%-14%,10%,8%-12%,4%,2%-6%
04320,Arizona,Liberty Elementary District,7033,11%,23%,17%-29%,27%,23%-31%,5%,3%-7%,7%,3%-12%,2%,1%-4%,4%,1%-8%
04380,Arizona,Litchfield Elementary District,"18,809",9%,24%,21%-27%,27%,25%-28%,2%,2%-3%,6%,4%-8%,4%,3%-5%,2%,1%-3%
04410,Arizona,Littlefield Unified District,557,23%,72%,35%-100%,77%,27%-100%,8%,1%-15%,19%,0%-46%,10%,0%-23%,15%,0%-36%
04440,Arizona,Littleton Elementary District,"10,783",17%,36%,30%-41%,28%,25%-30%,7%,6%-8%,13%,10%-16%,3%,2%-4%,3%,2%-5%
04500,Arizona,Madison Elementary District,7928,13%,40%,34%-47%,27%,25%-28%,3%,2%-3%,19%,14%-24%,7%,4%-10%,2%,0%-3%
04530,Arizona,Maine Consolidated School District,57,8%,47%,24%-71%,23%,14%-31%,2%,0%-6%,6%,0%-22%,0%,0%-30%,0%,0%-42%
04570,Arizona,Mammoth-San Manuel Unified District,954,25%,55%,35%-75%,25%,15%-36%,5%,2%-7%,46%,21%-72%,4%,0%-9%,5%,0%-13%
04630,Arizona,Marana Unified District,"16,996",12%,30%,27%-33%,29%,27%-30%,3%,2%-3%,4%,3%-5%,9%,8%-11%,1%,0%-2%
04720,Arizona,Maricopa Unified School District,"10,928",13%,23%,20%-27%,28%,26%-30%,3%,2%-4%,7%,4%-9%,6%,4%-8%,1%,0%-3%
04770,Arizona,Altar Valley Elementary District,822,25%,49%,35%-63%,21%,15%-27%,3%,1%-5%,22%,10%-33%,9%,3%-16%,0%,0%-4%
04820,Arizona,Mayer Unified District,680,35%,37%,19%-54%,35%,27%-43%,4%,1%-7%,20%,7%-33%,19%,7%-31%,0%,0%-5%
04860,Arizona,McNary Elementary District,221,42%,55%,40%-71%,51%,38%-63%,14%,0%-30%,57%,43%-71%,9%,3%-14%,0%,0%-11%
04920,Arizona,McNeal Elementary District,60,18%,7%,0%-18%,30%,13%-47%,4%,0%-16%,24%,0%-51%,10%,0%-35%,0%,0%-40%
04970,Arizona,Mesa Unified District,"83,032",18%,36%,35%-38%,31%,31%-32%,5%,5%-5%,12%,11%-13%,5%,5%-6%,6%,5%-6%
05030,Arizona,Miami Unified District,1286,41%,63%,48%-79%,36%,29%-43%,2%,0%-4%,53%,42%-64%,11%,5%-18%,2%,0%-5%
05070,Arizona,Mingus Union High School District,4427,22%,39%,28%-50%,39%,35%-43%,3%,2%-4%,13%,8%-18%,5%,2%-8%,3%,0%-6%
05100,Arizona,Mobile Elementary District,13,27%,100%,100%-100%,17%,0%-100%,0%,0%-65%,0%,0%-100%,0%,0%-100%,0%,0%-100%
05190,Arizona,Mohave Valley Elementary District,2808,24%,49%,37%-61%,42%,37%-46%,3%,1%-4%,10%,3%-17%,7%,4%-11%,0%,0%-2%
05220,Arizona,Mohawk Valley Elementary District,247,27%,31%,4%-58%,28%,19%-37%,7%,1%-14%,10%,4%-17%,0%,0%-7%,0%,0%-10%
05320,Arizona,Morenci Unified District,1385,9%,37%,25%-48%,16%,11%-21%,5%,2%-7%,13%,5%-22%,5%,2%-8%,0%,0%-2%
05340,Arizona,Morristown Elementary District,98,9%,40%,29%-52%,40%,27%-52%,1%,0%-5%,9%,0%-27%,0%,0%-17%,0%,0%-24%
05400,Arizona,Murphy Elementary District,1760,30%,63%,52%-74%,29%,24%-33%,12%,8%-16%,52%,42%-61%,8%,4%-12%,19%,9%-29%
05430,Arizona,Naco Elementary District,327,28%,35%,19%-52%,31%,20%-41%,4%,0%-10%,18%,4%-31%,1%,0%-5%,5%,0%-13%
05460,Arizona,Nadaburg Unified School District,1814,13%,20%,11%-29%,31%,25%-38%,1%,0%-2%,13%,1%-25%,2%,0%-4%,0%,0%-2%
05530,Arizona,Nogales Unified District,5010,43%,54%,46%-63%,38%,33%-43%,8%,6%-10%,22%,14%-31%,4%,2%-6%,9%,4%-14%
05640,Arizona,Oracle Elementary District,1190,11%,9%,1%-16%,23%,18%-28%,1%,0%-2%,3%,0%-7%,1%,0%-4%,0%,0%-3%
05670,Arizona,Osborn Elementary District,4621,27%,56%,49%-64%,26%,23%-28%,4%,3%-5%,24%,18%-31%,4%,1%-6%,3%,0%-8%
05730,Arizona,Owens-Whitney Elementary District,36,13%,83%,14%-100%,45%,32%-58%,2%,0%-12%,28%,1%-56%,0%,0%-47%,0%,0%-67%
05760,Arizona,Tonto Basin Elementary District,201,29%,14%,0%-31%,32%,18%-46%,5%,0%-10%,12%,0%-25%,7%,0%-19%,0%,0%-12%
05820,Arizona,Page Unified District,3320,21%,41%,31%-50%,46%,39%-52%,23%,19%-26%,25%,21%-29%,6%,2%-10%,0%,0%-1%
05850,Arizona,Palo Verde Elementary District,662,22%,6%,0%-12%,20%,13%-27%,6%,1%-11%,23%,3%-42%,0%,0%-3%,5%,0%-12%
05880,Arizona,Palominas Elementary District,1395,14%,33%,24%-43%,24%,19%-30%,2%,1%-3%,4%,0%-7%,2%,0%-5%,0%,0%-3%
05930,Arizona,Paradise Valley Unified District,"41,716",12%,33%,30%-36%,30%,30%-31%,3%,3%-3%,8%,6%-9%,4%,4%-5%,3%,2%-4%
05980,Arizona,Parker Unified School District,1812,34%,52%,43%-61%,40%,35%-44%,8%,5%-10%,27%,19%-35%,7%,4%-9%,1%,0%-3%
06000,Arizona,Patagonia Elementary District,206,21%,33%,16%-50%,29%,19%-39%,2%,0%-6%,9%,0%-23%,8%,0%-17%,0%,0%-12%
06030,Arizona,Patagonia Union High School District,325,12%,38%,21%-55%,29%,20%-37%,1%,0%-3%,15%,4%-26%,5%,0%-11%,12%,0%-30%
06070,Arizona,Payson Unified District,2279,24%,25%,18%-33%,35%,31%-40%,2%,1%-3%,14%,7%-20%,7%,4%-10%,0%,0%-2%
06120,Arizona,Peach Springs Unified District,369,33%,67%,56%-79%,27%,20%-34%,12%,7%-17%,37%,28%-45%,5%,2%-8%,0%,0%-7%
06150,Arizona,Pearce Elementary District,327,16%,7%,0%-15%,28%,17%-39%,4%,0%-8%,15%,3%-27%,3%,0%-8%,0%,0%-7%
06210,Arizona,Pendergast Elementary District,"17,043",21%,39%,35%-42%,32%,29%-34%,7%,6%-8%,11%,9%-14%,5%,3%-6%,7%,5%-9%
06250,Arizona,Peoria Unified School District,"38,629",12%,33%,30%-36%,31%,30%-32%,3%,2%-3%,6%,5%-7%,4%,4%-5%,1%,1%-2%
06300,Arizona,Phoenix Elementary District,9460,34%,60%,53%-67%,30%,28%-32%,8%,7%-10%,32%,28%-37%,5%,3%-7%,12%,8%-15%
06330,Arizona,Phoenix Union High School District,"149,423",26%,49%,47%-50%,31%,30%-32%,10%,10%-11%,28%,27%-30%,6%,5%-6%,11%,10%-12%
06360,Arizona,Picacho Elementary District,121,27%,39%,6%-72%,34%,24%-43%,7%,0%-16%,19%,0%-39%,19%,0%-40%,0%,0%-31%
06440,Arizona,Pima Unified District,938,27%,34%,20%-49%,26%,18%-33%,7%,3%-12%,21%,5%-36%,11%,2%-20%,0%,0%-3%
06510,Arizona,Pine Strawberry Elementary District,210,20%,18%,0%-36%,43%,31%-56%,0%,0%-2%,0%,0%-9%,2%,0%-9%,0%,0%-11%
06580,Arizona,Blue Ridge Unified District,2116,23%,29%,18%-39%,36%,31%-42%,2%,1%-3%,14%,6%-21%,11%,5%-17%,0%,0%-2%
06630,Arizona,Pomerene Elementary District,221,23%,32%,7%-57%,40%,30%-50%,4%,0%-11%,22%,0%-47%,0%,0%-8%,8%,0%-25%
06730,Arizona,Prescott Unified District,6328,12%,33%,24%-43%,30%,28%-33%,1%,1%-2%,7%,3%-10%,6%,3%-10%,0%,0%-1%
06740,Arizona,Sanders Unified District,1260,46%,66%,58%-74%,27%,23%-31%,19%,14%-23%,76%,63%-89%,0%,0%-2%,2%,0%-5%
06780,Arizona,Quartzsite Elementary District,369,29%,56%,22%-89%,43%,27%-59%,4%,0%-9%,24%,8%-40%,0%,0%-7%,0%,0%-9%
06810,Arizona,Queen Creek Unified District,"10,371",5%,14%,10%-18%,25%,23%-28%,2%,1%-3%,2%,1%-3%,4%,2%-5%,0%,0%-1%
06850,Arizona,Ray Unified District,790,16%,41%,28%-54%,23%,15%-30%,4%,1%-8%,59%,42%-77%,9%,2%-16%,0%,0%-3%
06870,Arizona,Red Mesa Unified District,1592,43%,55%,48%-61%,18%,15%-22%,17%,15%-20%,73%,68%-79%,2%,1%-3%,1%,0%-3%
06900,Arizona,Red Rock Elementary District,1235,14%,22%,11%-33%,31%,24%-38%,4%,1%-8%,5%,0%-10%,8%,3%-13%,0%,0%-2%
06930,Arizona,Redington Elementary District,11,13%,36%,2%-71%,9%,0%-100%,0%,0%-84%,82%,0%-100%,18%,0%-100%,45%,0%-100%
06960,Arizona,San Carlos Unified District,1505,38%,60%,46%-74%,21%,16%-27%,21%,15%-27%,72%,58%-86%,6%,2%-9%,1%,0%-3%
07020,Arizona,Riverside Elementary District,2383,25%,41%,23%-60%,38%,31%-44%,12%,6%-19%,17%,6%-28%,2%,0%-5%,9%,2%-17%
07080,Arizona,Roosevelt Elementary District,"25,551",29%,52%,48%-56%,29%,27%-31%,10%,9%-12%,25%,22%-29%,6%,5%-7%,8%,6%-10%
07130,Arizona,Round Valley Unified District,1582,26%,23%,13%-33%,23%,17%-29%,4%,2%-7%,18%,9%-28%,7%,1%-13%,0%,0%-2%
07140,Arizona,Rucker Elementary District,0,0%,0%,0%-100%,64%,0%-100%,0%,0%-100%,0%,0%-100%,0%,0%-100%,0%,0%-100%
07170,Arizona,Saddle Mountain Unified School District,2509,18%,24%,14%-34%,24%,19%-29%,4%,1%-7%,7%,2%-11%,5%,3%-7%,6%,0%-15%
07200,Arizona,Sacaton Elementary District,894,40%,65%,51%-78%,41%,33%-49%,3%,1%-6%,57%,41%-74%,2%,0%-4%,0%,0%-3%
07240,Arizona,Safford Unified District,3242,22%,45%,35%-54%,34%,30%-39%,5%,3%-7%,14%,8%-20%,5%,2%-7%,0%,0%-1%
07300,Arizona,Sahuarita Unified District,6560,11%,25%,21%-30%,23%,20%-26%,3%,1%-4%,10%,5%-16%,6%,3%-8%,1%,0%-3%
07380,Arizona,San Fernando Elementary District,0,0%,0%,0%-100%,8%,0%-100%,0%,0%-100%,0%,0%-100%,0%,0%-100%,0%,0%-100%
